Set,Way,Physical Address,Victim Address,Program Counter,Hit
875,15,2766199548,0,4207559,0
879,15,2766199759,0,4207559,0
1606,15,1218679197,0,4207559,0
1269,15,3140566380,0,4207559,0
95,14,3412072384,0,4207552,0
1272,15,3140566548,0,4207559,0
1354,15,3378205372,0,4207559,0
1379,15,3378206955,0,4207559,0
1386,15,3378207369,0,4207559,0
1034,15,2284388996,0,4207559,0
1850,15,659410611,0,4207559,0
729,15,3554326107,0,4207559,0
746,15,3554327193,0,4207559,0
1600,15,2651557912,0,4207559,0
1603,15,2651558126,0,4207559,0
1615,15,2651558853,0,4207559,0
1866,15,4142125751,0,4207559,0
1939,15,2293884139,0,4207559,0
530,15,1237091514,0,4207559,0
204,15,677655310,0,4207559,0
1688,15,86353421,0,4207559,0
1699,15,86354113,0,4207559,0
1709,15,86354779,0,4207559,0
475,15,2808510165,0,4207559,0
494,15,2808511404,0,4207559,0
1157,15,4076937581,0,4207559,0
1172,15,4076938558,0,4207559,0
1192,15,4076939824,0,4207559,0
1199,15,4076940270,0,4207559,0
733,15,2743383893,0,4207559,0
736,15,2743384117,0,4207559,0
512,15,715423753,0,4207559,0
540,15,715425572,0,4207559,0
567,15,715427296,0,4207559,0
1815,15,2090452469,0,4207559,0
97,15,3412072512,0,4207552,0
1672,15,2484970000,0,4207559,0
1678,15,2484970415,0,4207559,0
1710,15,2484972450,0,4207559,0
406,15,2777048483,0,4207559,0
419,15,2777049305,0,4207559,0
422,15,2777049505,0,4207559,0
425,15,2777049682,0,4207559,0
440,15,2777050644,0,4207559,0
442,15,2777050760,0,4207559,0
1368,15,90527279,0,4207559,0
1385,15,90528378,0,4207559,0
493,15,1227651905,0,4207559,0
502,15,1227652518,0,4207559,0
1323,15,2433174263,0,4207559,0
537,14,3644360307,0,4207559,0
565,15,3644362064,0,4207559,0
566,15,3644362122,0,4207559,0
98,15,3412072576,0,4207552,0
9,14,921305681,0,4207559,0
11,15,921305802,0,4207559,0
579,15,314609901,0,4207559,0
591,15,314610676,0,4207559,0
605,15,314611555,0,4207559,0
639,15,314613701,0,4207559,0
1045,15,2897675644,0,4207559,0
1063,15,2897676756,0,4207559,0
1064,15,2897676802,0,4207559,0
1065,15,2897676927,0,4207559,0
1038,15,3795256239,0,4207559,0
1053,14,3795257200,0,4207559,0
1472,15,1515810848,0,4207559,0
1479,15,1515811277,0,4207559,0
1487,15,1515811839,0,4207559,0
1494,15,1515812259,0,4207559,0
99,15,3412072640,0,4207552,0
1552,15,1213694998,0,4207559,0
1590,15,1213697440,0,4207559,0
1522,14,2763750557,0,4207559,0
779,15,232702661,0,4207559,0
260,15,1109672220,0,4207559,0
265,15,1109672544,0,4207559,0
1958,15,1974593954,0,4207559,0
1966,15,1974594444,0,4207559,0
1969,15,1974594662,0,4207559,0
1738,15,3217666724,0,4207559,0
1665,15,3200753755,0,4207559,0
1666,15,3200753797,0,4207559,0
1667,15,3200753902,0,4207559,0
1668,15,3200753946,0,4207559,0
1680,15,3200754738,0,4207559,0
100,15,3412072704,0,4207552,0
1722,15,3200757420,0,4207559,0
1396,15,307715344,0,4207559,0
1856,15,146919438,0,4207559,0
1864,15,146919940,0,4207559,0
1881,15,146921084,0,4207559,0
1884,15,146921276,0,4207559,0
1896,14,146922019,0,4207559,0
